,Values
NAV,"11,318.93"
Open Price,"11,405.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"2,889.0 / 3,652.2"
Day Range,"11,235.00 – 11,405.00"
Year Range,"9,715.00 – 11,520.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.290%
Total Assets,9.1 Bil
