,Values
NAV,"9,084.48"
Open Price,"8,965.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"20,360.0 / 2,844.2"
Day Range,"8,905.00 – 8,975.00"
Year Range,"8,670.00 – 10,055.00"
SEC Yield ,—
12-Month Yield ,—
Premium ,—
Expense Ratio,0.470%
Total Assets,8.2 Bil
