,Fund,Cat. Average,Index
Price/Earnings ,23.42,20.30,17.09
Price/Book ,3.37,2.56,3.38
Price/Sales ,3.06,2.04,1.97
Price/Cash Flow ,24.10,11.25,13.35
Dividend Yield % ,0.29,0.89,1.91
Long-Term Earnings % ,19.52,10.45,9.35
Historical Earnings % ,-2.06,15.68,13.99
Sales Growth % ,9.26,9.13,5.37
Cash-Flow Growth % ,8.81,2.14,-2.79
Book-Value Growth % ,9.07,7.67,3.73
