,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,54.42,-10.63,-29.48
Fund (NAV),—,—,—,—,—,—,—,—,54.74,-10.62,-29.03
+/ Category (NAV),—,—,—,—,—,—,—,—,29.48,-4.31,-25.06
+/- Index (Price),—,—,—,—,—,—,—,—,33.01,-11.93,-37.67
Percentile Rank,—,—,—,—,—,—,—,—,18,80,83
# of Funds in Category,—,—,—,—,—,—,—,80,93,100,118
