,Values
NAV,"8,109.06"
Open Price,"8,040.00"
Bid / Ask / Spread,"7,260.00 / 8,865.00 / 19.91%"
Volume / Avg,"406.0 / 7,936.3"
Day Range,"8,035.00 – 8,100.00"
Year Range,"7,465.00 – 13,860.00"
SEC Yield ,—
12-Month Yield ,0.12%
Premium ,—
Expense Ratio,0.480%
Total Assets,8.1 Bil
