,Fund,Cat. Average,Index
Price/Earnings ,3.73,21.65,18.41
Price/Book ,0.77,2.67,2.59
Price/Sales ,0.37,1.80,1.18
Price/Cash Flow ,5.55,12.60,11.41
Dividend Yield % ,1.94,1.36,2.35
Long-Term Earnings % ,24.34,11.95,9.27
Historical Earnings % ,-10.86,13.32,5.82
Sales Growth % ,1.54,10.36,4.99
Cash-Flow Growth % ,-2.17,6.20,3.63
Book-Value Growth % ,4.10,11.50,7.88
