,Values
NAV,"11,045.95"
Open Price,"11,110.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,41.0 / 910.3
Day Range,"11,035.00 – 11,120.00"
Year Range,"9,980.00 – 12,835.00"
SEC Yield ,—
12-Month Yield ,—
Premium ,—
Expense Ratio,0.450%
Total Assets,3.8 Bil
