,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,6.90,4.43,4.42,2.46,5.19,3.10,1.34,0.32,3.04,3.02
Fund (NAV),—,6.86,4.58,4.45,2.52,5.17,3.11,1.26,0.38,3.13,2.86
+/ Category (NAV),—,2.55,0.88,0.56,0.69,0.89,0.38,-0.04,-0.04,0.11,-0.25
+/- Index (Price),—,-0.48,-1.02,-1.30,0.21,-1.48,-1.18,-0.43,-0.31,-1.69,-2.59
Percentile Rank,—,14,21,31,16,34,36,56,52,47,50
# of Funds in Category,295,310,240,245,257,276,329,366,449,545,717
