,Values
NAV,"57,167.89"
Open Price,"57,180.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"63,487.0 / 11,496.5"
Day Range,"57,180.00 – 57,215.00"
Year Range,"55,180.00 – 57,260.00"
SEC Yield ,—
12-Month Yield ,0.93%
Premium ,—
Expense Ratio,0.170%
Total Assets,96.0 Bil
