,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,0.00,—
Non-U.S.Stock,0.00,0.00,0.00,0.00,—
Bonds,99.99,0.00,99.99,92.09,—
Other,0.00,0.00,0.00,0.18,—
Cash,0.01,6.98,6.99,23.76,—
Not Classified,0.00,0.00,0.00,0.00,—
