,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),0.14,0.28,1.06,1.98,3.02,4.46,1.85,2.60,3.61,—,—
Total Return % (NAV),-0.01,0.02,0.89,1.93,2.86,4.34,1.82,2.58,3.62,—,3.51
+/- Category (NAV),-0.01,-0.04,-0.15,-0.13,-0.25,-0.37,0.03,0.16,0.69,—,—
+/- Index (NAV),-0.31,-0.56,-1.42,-2.06,-2.75,-4.06,-1.05,-1.36,-1.03,—,—
