Sectors,Fund %,Category %
Basic Materials,7.25,8.70
Consumer Cyclical,11.03,13.65
Financial Services,11.51,11.56
Real Estate,0.04,0.29
Communication Services,2.51,2.34
Energy,1.71,1.96
Industrials,9.28,10.46
Technology,41.96,38.20
Consumer Defensive,6.01,6.64
Healthcare,7.51,4.97
Utilities,1.19,1.23
