,Values
NAV,"11,627.31"
Open Price,"11,440.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"109.0 / 12,101.1"
Day Range,"11,440.00 – 11,540.00"
Year Range,"11,330.00 – 14,110.00"
SEC Yield ,—
12-Month Yield ,—
Premium ,—
Expense Ratio,0.090%
Total Assets,21.5 Bil
