,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,15.56,-12.38,-13.44
Fund (NAV),—,—,—,—,—,—,—,—,15.39,-12.43,-12.31
+/ Category (NAV),—,—,—,—,—,—,—,—,-7.09,4.25,-7.44
+/- Index (Price),—,—,—,—,—,—,—,—,-16.68,5.25,-13.94
Percentile Rank,—,—,—,—,—,—,—,—,91,12,96
# of Funds in Category,—,—,—,—,—,—,—,"2,012","2,058","2,015","2,284"
