,Values
NAV,"9,735.97"
Open Price,"9,720.00"
Bid / Ask / Spread,"0.00 / 10,725.00 / 0.00%"
Volume / Avg,"2,162.0 / 27,204.3"
Day Range,"9,715.00 – 9,760.00"
Year Range,"9,665.00 – 10,740.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.490%
Total Assets,8.2 Bil
