,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),0.00,0.06,-4.43,-4.28,-9.64,-9.50,—,—,—,—,—
Total Return % (NAV),1.74,0.35,-4.62,-4.58,-10.89,-9.56,—,—,—,—,-8.11
+/- Category (NAV),—,—,—,—,—,—,—,—,—,—,—
+/- Index (NAV),—,—,—,—,—,—,—,—,—,—,—
