,Values
NAV,"8,932.79"
Open Price,"8,950.00"
Bid / Ask / Spread,"8,900.00 / 8,945.00 / 0.50%"
Volume / Avg,43.0 / 47.0
Day Range,"8,935.00 – 8,950.00"
Year Range,"8,815.00 – 10,340.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.510%
Total Assets,6.3 Bil
