,Values
NAV,"109,579.62"
Open Price,"109,795.00"
Bid / Ask / Spread,"0.00 / 111,490.00 / 0.00%"
Volume / Avg,"35,278.0 / 34,386.2"
Day Range,"109,795.00 – 109,950.00"
Year Range,"101,715.00 – 109,950.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.080%
Total Assets,1.1 Tril
