,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,—,4.87,5.28
Fund (NAV),—,—,—,—,—,—,—,—,—,4.76,5.11
+/ Category (NAV),—,—,—,—,—,—,—,—,—,1.74,2.00
+/- Index (Price),—,—,—,—,—,—,—,—,—,0.14,-0.34
Percentile Rank,—,—,—,—,—,—,—,—,—,8,14
# of Funds in Category,—,—,—,—,—,—,—,—,449,545,717
