,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,0.00,—
Non-U.S.Stock,0.00,0.00,0.00,0.00,—
Bonds,102.43,0.00,102.43,92.09,—
Other,0.00,0.00,0.00,0.18,—
Cash,-2.43,6.43,4.01,23.76,—
Not Classified,0.00,0.00,0.00,0.00,—
