,Values
NAV,"19,778.84"
Open Price,"19,615.00"
Bid / Ask / Spread,"19,400.00 / 19,510.00 / 0.57%"
Volume / Avg,"45,093.0 / 22,544.6"
Day Range,"19,490.00 – 19,615.00"
Year Range,"15,185.00 – 27,445.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.410%
Total Assets,12.9 Bil
