,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,0.00,—
Non-U.S.Stock,0.00,0.00,0.00,0.68,—
Bonds,6.28,0.00,6.28,41.45,—
Other,93.57,0.00,93.57,73.73,—
Cash,0.15,156.87,157.01,156.77,—
Not Classified,0.00,0.00,0.00,0.09,—
