,Values
NAV,"9,133.36"
Open Price,"9,385.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"17.0 / 2,610.8"
Day Range,"9,120.00 – 9,385.00"
Year Range,"9,005.00 – 13,075.00"
SEC Yield ,—
12-Month Yield ,0.93%
Premium ,—
Expense Ratio,0.250%
Total Assets,4.4 Bil
