,Values
NAV,"8,684.84"
Open Price,"8,620.00"
Bid / Ask / Spread,"8,600.00 / 8,650.00 / 0.58%"
Volume / Avg,"847,137.0 / 801,618.2"
Day Range,"8,575.00 – 8,655.00"
Year Range,"7,950.00 – 14,560.00"
SEC Yield ,—
12-Month Yield ,1.26%
Premium ,—
Expense Ratio,0.220%
Total Assets,318.4 Bil
