,Fund,Cat. Average,Index
Price/Earnings ,18.26,10.08,10.07
Price/Book ,2.68,1.04,0.93
Price/Sales ,2.07,0.61,0.40
Price/Cash Flow ,9.02,4.44,2.91
Dividend Yield % ,0.63,1.71,2.01
Long-Term Earnings % ,25.19,9.55,10.86
Historical Earnings % ,4.15,2.73,0.53
Sales Growth % ,-3.15,-1.44,-3.08
Cash-Flow Growth % ,-23.01,-10.31,-9.25
Book-Value Growth % ,9.35,6.21,2.39
