,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,4.54,-4.48,3.81,23.65,-11.89,10.89
Fund (NAV),—,—,—,—,—,4.51,-4.79,4.34,22.59,-11.84,13.18
+/ Category (NAV),—,—,—,—,—,-1.26,-7.11,-0.19,6.31,-1.61,-1.21
+/- Index (Price),—,—,—,—,—,0.54,-2.44,-4.41,-0.22,-2.07,0.42
Percentile Rank,—,—,—,—,—,64,85,59,16,65,57
# of Funds in Category,—,—,—,—,67,76,120,185,325,554,587
