Sectors,Fund %,Category %
Basic Materials,4.78,3.03
Consumer Cyclical,11.81,17.26
Financial Services,18.26,17.46
Real Estate,3.15,1.25
Communication Services,3.78,2.30
Energy,5.76,3.60
Industrials,10.47,9.33
Technology,18.81,20.73
Consumer Defensive,8.71,10.55
Healthcare,11.24,11.88
Utilities,3.21,2.59
