,Net,Short,Long,Cat.,Index
U.S.Stock,55.67,0.00,55.67,46.32,53.84
Non-U.S.Stock,44.33,0.00,44.33,40.30,46.12
Bonds,0.00,0.00,0.00,0.15,0.00
Other,-0.00,0.00,0.00,0.47,0.04
Cash,0.01,0.00,0.01,50.75,0.00
Not Classified,0.00,0.00,0.00,0.03,0.00
