,Values
NAV,"13,031.59"
Open Price,"12,995.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"802.0 / 1,851.9"
Day Range,"12,700.00 – 12,995.00"
Year Range,"11,100.00 – 13,810.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.470%
Total Assets,6.6 Bil
