,Fund,Cat. Average,Index
Price/Earnings ,15.66,17.50,15.86
Price/Book ,2.05,2.56,1.99
Price/Sales ,1.53,1.86,1.45
Price/Cash Flow ,7.51,9.84,7.47
Dividend Yield % ,2.67,2.32,2.64
Long-Term Earnings % ,9.94,8.64,9.11
Historical Earnings % ,9.47,8.29,8.71
Sales Growth % ,5.41,3.60,-17.33
Cash-Flow Growth % ,8.94,5.53,4.42
Book-Value Growth % ,5.43,4.22,4.36
