,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,0.00,—
Non-U.S.Stock,0.00,0.00,0.00,0.00,—
Bonds,119.98,0.00,119.98,92.09,—
Other,0.00,0.00,0.00,0.18,—
Cash,-19.98,100.32,80.34,23.76,—
Not Classified,0.00,0.00,0.00,0.00,—
