,Values
NAV,"73,183.76"
Open Price,"73,595.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"3,100.0 / 2,753.6"
Day Range,"73,535.00 – 73,685.00"
Year Range,"65,520.00 – 73,685.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.270%
Total Assets,14.9 Bil
