,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-1.33,-0.41,-6.31,-4.56,-1.13,-12.56,3.25,2.59,—,—,—
Total Return % (NAV),-0.01,-0.18,-4.87,-3.45,0.22,-13.21,3.78,2.92,—,—,4.22
+/- Category (NAV),-0.20,-0.01,-1.89,-2.52,-6.80,-6.70,-4.53,-2.52,—,—,—
+/- Index (NAV),-0.01,-0.03,-0.49,-0.91,-1.91,-3.24,-2.51,-2.56,—,—,—
