,Values
NAV,"12,385.73"
Open Price,"12,250.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"314.0 / 1,414.4"
Day Range,"12,250.00 – 12,980.00"
Year Range,"11,670.00 – 15,310.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.290%
Total Assets,27.2 Bil
