,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,8.64,-3.12,19.72,-18.67,-1.13
Fund (NAV),—,—,—,—,—,—,9.00,-2.64,19.27,-18.59,0.22
+/ Category (NAV),—,—,—,—,—,—,-0.29,-3.05,-4.29,-4.93,-6.80
+/- Index (Price),—,—,—,—,—,—,-2.19,-3.19,-0.94,-3.16,-3.26
Percentile Rank,—,—,—,—,—,—,51,63,74,81,85
# of Funds in Category,—,—,—,—,—,65,89,149,165,183,212
