,Fund,Cat. Average,Index
Price/Earnings ,12.80,12.69,12.93
Price/Book ,0.98,1.29,1.09
Price/Sales ,0.57,0.77,0.75
Price/Cash Flow ,3.61,6.09,5.07
Dividend Yield % ,1.77,2.56,2.75
Long-Term Earnings % ,12.89,9.86,9.91
Historical Earnings % ,-28.72,2.25,3.93
Sales Growth % ,-23.94,3.68,4.11
Cash-Flow Growth % ,-49.53,-4.05,-0.06
Book-Value Growth % ,-5.56,6.82,7.52
