,Values
NAV,"6,525.28"
Open Price,"6,465.00"
Bid / Ask / Spread,"6,090.00 / 0.00 / 0.00%"
Volume / Avg,"121,373.0 / 46,550.7"
Day Range,"6,390.00 – 6,485.00"
Year Range,"6,390.00 – 8,715.00"
SEC Yield ,—
12-Month Yield ,4.27%
Premium ,—
Expense Ratio,0.470%
Total Assets,63.9 Bil
