,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),78.93,12.47,-27.29,3.34,18.16,-15.68,-13.12,22.25,32.95,-15.82,-12.95
Fund (NAV),80.04,11.83,-27.23,3.49,18.26,-15.59,-13.32,22.88,33.36,-15.91,-11.40
+/ Category (NAV),36.41,2.69,-5.70,-11.27,1.11,-17.98,-13.61,17.40,11.39,-3.26,-15.46
+/- Index (Price),41.82,6.77,-8.08,-24.77,-8.89,-18.14,-8.12,11.54,8.59,-1.96,-22.27
Percentile Rank,1,37,86,93,45,100,100,1,17,54,85
# of Funds in Category,28,31,31,44,43,35,40,36,41,47,54
