,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,2.49,2.36,1.63,1.32,1.20,1.53,1.08
Fund (NAV),—,—,—,—,2.56,2.40,1.66,1.34,1.23,1.55,1.06
+/ Category (NAV),—,—,—,—,0.13,0.15,0.13,0.10,-0.02,-0.06,-0.11
+/- Index (Price),—,—,—,—,-0.60,-0.52,-0.50,-0.53,-0.55,-0.45,-0.26
Percentile Rank,—,—,—,—,38,32,35,40,54,55,51
# of Funds in Category,—,—,—,150,156,179,201,203,226,269,305
