,Values
NAV,"101,085.00"
Open Price,"101,095.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"1,814.0 / 18,413.5"
Day Range,"101,095.00 – 101,100.00"
Year Range,"100,035.00 – 101,565.00"
SEC Yield ,—
12-Month Yield ,1.53%
Premium ,—
Expense Ratio,0.110%
Total Assets,836.0 Bil
