,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,-17.55,-30.74,25.07
Fund (NAV),—,—,—,—,—,—,—,—,-18.19,-30.46,28.09
+/ Category (NAV),—,—,—,—,—,—,—,—,-49.65,-8.84,10.93
+/- Index (Price),—,—,—,—,—,—,—,—,-52.92,-19.93,18.43
Percentile Rank,—,—,—,—,—,—,—,—,100,97,16
# of Funds in Category,—,—,—,—,—,—,—,636,734,890,938
