,Values
NAV,"6,885.62"
Open Price,"6,705.00"
Bid / Ask / Spread,"6,950.00 / 0.00 / 0.00%"
Volume / Avg,"12,402.0 / 9,164.6"
Day Range,"6,705.00 – 6,985.00"
Year Range,"5,205.00 – 8,005.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,2.540%
Total Assets,9.6 Bil
