,Values
NAV,"10,239.74"
Open Price,"10,155.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,7.0 / 13.6
Day Range,"10,155.00 – 10,195.00"
Year Range,"9,830.00 – 10,640.00"
SEC Yield ,—
12-Month Yield ,—
Premium ,—
Expense Ratio,0.400%
Total Assets,7.4 Bil
