,Fund,Category,Index
U.S.Stock,—,41.01,69.52
Non-U.S.Stock,—,46.12,30.48
Bonds,—,0.01,0.00
Other,—,0.52,0.00
Cash,—,32.42,0.00
Not Classified,—,0.04,0.00
