,Values
NAV,"13,047.05"
Open Price,"12,970.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"10,102.0 / 3,829.2"
Day Range,"12,855.00 – 12,970.00"
Year Range,"12,845.00 – 14,820.00"
SEC Yield ,—
12-Month Yield ,—
Premium ,—
Expense Ratio,0.110%
Total Assets,95.2 Bil
