,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,0.00,—
Non-U.S.Stock,0.00,0.00,0.00,0.68,—
Bonds,12.59,0.00,12.59,41.45,—
Other,98.10,0.00,98.10,73.73,—
Cash,-10.68,164.22,153.53,156.77,—
Not Classified,0.00,0.00,0.00,0.09,—
