,Values
NAV,"10,897.87"
Open Price,"10,885.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,4.0 / 382.5
Day Range,"10,885.00 – 10,885.00"
Year Range,"9,335.00 – 11,045.00"
SEC Yield ,—
12-Month Yield ,—
Premium ,—
Expense Ratio,0.580%
Total Assets,7.6 Bil
