,Fund,Cat. Average,Index
Price/Earnings ,9.28,14.09,—
Price/Book ,0.93,1.42,—
Price/Sales ,0.61,0.92,—
Price/Cash Flow ,3.74,5.44,—
Dividend Yield % ,2.84,3.83,—
Long-Term Earnings % ,14.50,10.01,—
Historical Earnings % ,13.21,10.36,—
Sales Growth % ,2.45,-18.92,—
Cash-Flow Growth % ,8.45,10.89,—
Book-Value Growth % ,6.61,-18.73,—
