,Values
NAV,"6,352.17"
Open Price,"6,280.00"
Bid / Ask / Spread,"6,250.00 / 0.00 / 0.00%"
Volume / Avg,"56,222.0 / 74,383.6"
Day Range,"6,255.00 – 6,305.00"
Year Range,"6,150.00 – 8,575.00"
SEC Yield ,—
12-Month Yield ,0.95%
Premium ,—
Expense Ratio,0.550%
Total Assets,166.0 Bil
