,Fund,Cat. Average,Index
Price/Earnings ,17.84,21.65,18.41
Price/Book ,1.34,2.67,2.59
Price/Sales ,0.75,1.80,1.18
Price/Cash Flow ,9.21,12.60,11.41
Dividend Yield % ,1.09,1.36,2.35
Long-Term Earnings % ,24.15,11.95,9.27
Historical Earnings % ,7.11,13.32,5.82
Sales Growth % ,6.17,10.36,4.99
Cash-Flow Growth % ,-6.99,6.20,3.63
Book-Value Growth % ,6.90,11.50,7.88
