,Fund,Cat. Average,Index
Price/Earnings ,16.94,21.65,18.41
Price/Book ,1.04,2.67,2.59
Price/Sales ,0.76,1.80,1.18
Price/Cash Flow ,6.79,12.60,11.41
Dividend Yield % ,1.78,1.36,2.35
Long-Term Earnings % ,10.15,11.95,9.27
Historical Earnings % ,-9.90,13.32,5.82
Sales Growth % ,0.55,10.36,4.99
Cash-Flow Growth % ,-14.58,6.20,3.63
Book-Value Growth % ,6.18,11.50,7.88
