,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,18.76,5.31,13.99,28.30,-12.97,14.86,-16.23,-21.17
Fund (NAV),—,—,—,18.95,5.79,13.55,28.67,-12.84,14.77,-16.29,-20.49
+/ Category (NAV),—,—,—,6.09,-9.22,8.45,23.23,-7.64,-11.66,-3.50,-27.43
+/- Index (Price),—,—,—,-1.10,-20.95,10.00,23.88,-15.36,-6.72,-6.79,—
Percentile Rank,—,—,—,12,93,9,3,83,89,72,100
# of Funds in Category,—,—,37,69,80,100,119,139,129,129,132
