Sectors,Fund %,Category %
Basic Materials,0.00,1.61
Consumer Cyclical,2.51,25.42
Financial Services,0.00,9.63
Real Estate,0.00,0.34
Communication Services,17.21,2.05
Energy,0.00,0.00
Industrials,1.58,3.62
Technology,0.00,18.47
Consumer Defensive,39.81,23.67
Healthcare,30.89,14.74
Utilities,8.00,0.46
