,Values
NAV,"9,153.78"
Open Price,"9,230.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"20,021.0 / 20,813.7"
Day Range,"9,140.00 – 9,230.00"
Year Range,"8,915.00 – 12,885.00"
SEC Yield ,—
12-Month Yield ,1.60%
Premium ,—
Expense Ratio,0.420%
Total Assets,140.6 Bil
