,Values
NAV,"7,470.37"
Open Price,"7,355.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"4.0 / 2,741.1"
Day Range,"7,355.00 – 7,395.00"
Year Range,"7,355.00 – 9,740.00"
SEC Yield ,—
12-Month Yield ,1.84%
Premium ,—
Expense Ratio,0.130%
Total Assets,21.7 Bil
