Sectors,Fund %,Category %
Basic Materials,13.14,8.70
Consumer Cyclical,15.13,13.65
Financial Services,15.32,11.56
Real Estate,0.00,0.29
Communication Services,3.21,2.34
Energy,2.92,1.96
Industrials,21.01,10.46
Technology,15.90,38.20
Consumer Defensive,7.78,6.64
Healthcare,3.70,4.97
Utilities,1.90,1.23
