,Fund,Cat. Average,Index
Price/Earnings ,7.69,11.02,12.13
Price/Book ,0.79,0.84,0.86
Price/Sales ,0.35,0.53,0.65
Price/Cash Flow ,3.33,3.46,3.66
Dividend Yield % ,2.42,3.08,3.48
Long-Term Earnings % ,15.51,10.07,3.69
Historical Earnings % ,5.73,15.26,14.88
Sales Growth % ,-1.52,11.25,4.89
Cash-Flow Growth % ,-5.01,16.83,15.05
Book-Value Growth % ,1.42,10.86,8.56
