,Values
NAV,"101,234.59"
Open Price,"101,245.00"
Bid / Ask / Spread,"101,250.00 / 0.00 / 0.00%"
Volume / Avg,"30,629.0 / 51,069.9"
Day Range,"101,245.00 – 101,250.00"
Year Range,"100,030.00 – 101,685.00"
SEC Yield ,—
12-Month Yield ,1.65%
Premium ,—
Expense Ratio,0.170%
Total Assets,1.4 Tril
