,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,0.00,—
Non-U.S.Stock,0.00,0.00,0.00,0.00,—
Bonds,66.52,0.00,66.52,92.09,—
Other,0.00,0.00,0.00,0.18,—
Cash,33.48,0.01,33.49,23.76,—
Not Classified,0.00,0.00,0.00,0.00,—
