,Values
NAV,"9,647.13"
Open Price,"9,600.00"
Bid / Ask / Spread,"8,670.00 / 9,705.00 / 11.27%"
Volume / Avg,"244,642.0 / 694,018.5"
Day Range,"9,600.00 – 9,700.00"
Year Range,"6,120.00 – 10,800.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.360%
Total Assets,17.8 Bil
