,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),0.57,-0.15,15.78,28.88,31.86,36.60,-1.01,—,—,—,—
Total Return % (NAV),-1.85,-3.70,15.84,26.78,31.05,36.03,-0.98,—,—,—,-1.28
+/- Category (NAV),—,—,—,—,—,—,—,—,—,—,—
+/- Index (NAV),—,—,—,—,—,—,—,—,—,—,—
