,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,4.81,—
Non-U.S.Stock,-96.59,96.59,0.00,5.39,—
Bonds,16.14,0.00,16.14,12.48,—
Other,0.00,0.00,0.00,19.44,—
Cash,180.45,0.72,181.17,78.62,—
Not Classified,0.00,0.00,0.00,0.77,—
