Sectors,Fund %,Category %
Basic Materials,0.00,2.78
Consumer Cyclical,13.96,19.27
Financial Services,15.78,16.81
Real Estate,35.69,2.49
Communication Services,5.92,3.58
Energy,0.00,3.04
Industrials,16.20,6.53
Technology,0.00,33.42
Consumer Defensive,4.64,4.60
Healthcare,0.00,6.41
Utilities,7.82,1.07
