,Fund,Cat. Average,Index
Price/Earnings ,17.40,18.61,—
Price/Book ,2.09,2.88,—
Price/Sales ,2.36,1.98,—
Price/Cash Flow ,8.64,9.20,—
Dividend Yield % ,1.41,1.69,—
Long-Term Earnings % ,11.87,10.42,—
Historical Earnings % ,5.51,8.99,—
Sales Growth % ,10.92,5.87,—
Cash-Flow Growth % ,9.93,5.20,—
Book-Value Growth % ,9.36,9.23,—
